epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,2954.78,1.02467,0.51692,1.02997,0.96562,0.6274,0.65873,0.45324,1.09793,0.45938,1.06412,0.000226497,0.000226497,0.000226497
87,2988.67,1.03865,0.52531,1.02974,0.96645,0.62603,0.6588,0.45143,1.10123,0.46202,1.0653,0.000212349,0.000212349,0.000212349
88,3022.33,1.01988,0.51792,1.04748,0.96741,0.62609,0.65798,0.45238,1.09911,0.46043,1.06458,0.000198202,0.000198202,0.000198202
89,3056.31,1.05684,0.52128,1.0375,0.96577,0.62596,0.65908,0.45319,1.09898,0.46112,1.06355,0.000184055,0.000184055,0.000184055
90,3090.14,1.01776,0.50631,1.03848,0.96542,0.62712,0.65928,0.45253,1.09745,0.46057,1.06342,0.000169908,0.000169908,0.000169908
91,3125.08,0.99282,0.45642,1.02675,0.96604,0.62764,0.65864,0.45111,1.1018,0.46264,1.06471,0.000155761,0.000155761,0.000155761
92,3159.2,0.98825,0.4504,1.03037,0.63341,0.62519,0.65855,0.45159,1.10193,0.46422,1.0653,0.000141614,0.000141614,0.000141614
93,3193.27,0.96791,0.43768,1.01568,0.62712,0.63009,0.6583,0.4517,1.10017,0.46325,1.06417,0.000127467,0.000127467,0.000127467
94,3227.36,0.98304,0.43065,1.00369,0.62899,0.62983,0.66004,0.45171,1.10229,0.46352,1.06446,0.00011332,0.00011332,0.00011332
95,3261.15,0.9613,0.42646,1.00914,0.62681,0.63106,0.65726,0.45151,1.10192,0.46406,1.06573,9.91726e-05,9.91726e-05,9.91726e-05
96,3295.05,0.98536,0.43667,1.02174,0.63123,0.62768,0.65704,0.45098,1.10325,0.46466,1.06687,8.50255e-05,8.50255e-05,8.50255e-05
97,3328.98,1.01122,0.42522,1.0305,0.63146,0.62855,0.65833,0.45123,1.10269,0.46419,1.06677,7.08784e-05,7.08784e-05,7.08784e-05
98,3362.97,0.97456,0.43258,1.02293,0.63305,0.62673,0.65847,0.45191,1.10263,0.46367,1.06656,5.67313e-05,5.67313e-05,5.67313e-05
99,3397.16,0.96767,0.42325,1.00424,0.63221,0.62882,0.65719,0.45115,1.10199,0.46355,1.06579,4.25842e-05,4.25842e-05,4.25842e-05
100,3431.5,0.95216,0.41864,1.00414,0.63279,0.62801,0.65737,0.45078,1.10146,0.46346,1.06536,2.84371e-05,2.84371e-05,2.84371e-05
